date,fiscal_index
2015-01-01,-0.15006111392518853
2015-02-01,-0.6337106485673585
2015-03-01,-0.7160578112630573
2015-04-01,-0.8456705647917466
2015-05-01,-0.7185786427741502
2015-06-01,-0.2993503578599079
2015-07-01,-1.0607114973074703
2015-08-01,-0.8096086695636132
2015-09-01,-0.636371526273512
2015-10-01,-1.1950157983706935
2015-11-01,-0.8685681176841731
2015-12-01,-0.31825659419310404
2016-01-01,0.8472078411021439
2016-02-01,-1.004622996185655
2016-03-01,0.08906776414097774
2016-04-01,-1.0398446142434243
2016-05-01,-1.1125986125774643
2016-06-01,-0.43274435865523636
2016-07-01,-1.2511743225900391
2016-08-01,-0.5639676434271238
2016-09-01,-0.3882096686259298
2016-10-01,-0.9659002232513682
2016-11-01,-0.3032716513216078
2016-12-01,-0.43848625265272556
2017-01-01,1.0020989328392917
2017-02-01,-0.8228430349968505
2017-03-01,-0.10314563857984992
2017-04-01,-0.614734389136632
2017-05-01,-0.8422394330127592
2017-06-01,-0.34598574081512506
2017-07-01,-0.7494588287850372
2017-08-01,-0.4372535130278018
2017-09-01,-0.29844492734353345
2017-10-01,-0.8080782074642079
2017-11-01,-0.39573781720472523
2017-12-01,-0.8067080359938004
2018-01-01,0.7942946406096476
2018-02-01,-0.5978943514310298
2018-03-01,-0.4057117137774964
2018-04-01,-0.3579164310760596
2018-05-01,-0.6285803496607705
2018-06-01,-0.20443132619952542
2018-07-01,-0.4685172726129714
2018-08-01,-0.20640608176749597
2018-09-01,-0.07318898872220822
2018-10-01,-0.8887064689486284
2018-11-01,-0.3885244710471388
2018-12-01,-0.49798412022413574
2019-01-01,1.7412794204907385
2019-02-01,-0.7881975124096691
2019-03-01,0.4338269486168941
2019-04-01,-0.49362435624849726
2019-05-01,-0.3421328785912635
2019-06-01,0.1912970225127339
2019-07-01,-0.6563734745436614
2019-08-01,-0.12076142266404115
2019-09-01,0.19116118693208456
2019-10-01,-0.9179304679201856
2019-11-01,-0.16565331559487947
2019-12-01,-0.21859084877689405
2020-01-01,1.839705936694676
2020-02-01,-0.8399323382961958
2020-03-01,1.6864093593948994
2020-04-01,0.33694829567892626
2020-05-01,0.3339891622265296
2020-06-01,0.5872839762742186
2020-07-01,-0.4207025235904668
2020-08-01,0.41650245471209807
2020-09-01,0.5939339694686627
2020-10-01,-0.6817995012932521
2020-11-01,-0.04248456444698659
2020-12-01,-0.3571895440709869
2021-01-01,2.0298721942674622
2021-02-01,-0.26963377366771446
2021-03-01,0.9272324953235309
2021-04-01,-0.2483122279711622
2021-05-01,-0.1511910321251141
2021-06-01,0.85127226540281
2021-07-01,-0.717220003235682
2021-08-01,0.14255176732105992
2021-09-01,0.33340046538601087
2021-10-01,-0.5553517084750353
2021-11-01,0.019169254041134093
2021-12-01,-0.17857500742344834
2022-01-01,2.542588890738042
2022-02-01,-0.6371701817048385
2022-03-01,1.585194544532222
2022-04-01,-0.9766012895163863
2022-05-01,0.3328477114806242
2022-06-01,1.696071208019963
2022-07-01,-1.0098814119688282
2022-08-01,-0.011159698814114022
2022-09-01,0.904899745843625
2022-10-01,-0.9476026627481462
2022-11-01,-0.2650227197426728
2022-12-01,-0.37281135627849954
2023-01-01,2.8008709194936765
2023-02-01,0.4426914878696917
2023-03-01,2.1565533367722396
2023-04-01,-0.8385416883446165
2023-05-01,-0.38094163561598005
2023-06-01,1.4399972951400548
2023-07-01,-1.2579544791704689
2023-08-01,0.22174445258476688
2023-09-01,1.0980855644577092
2023-10-01,-0.6039380588740114
2023-11-01,-0.1142633309204119
2023-12-01,-0.29590626374300366
2024-01-01,2.9281007666890764
2024-02-01,-0.5092950156791686
2024-03-01,1.6747606094326848
2024-04-01,-1.3379054854907242
2024-05-01,-0.3801322151928968
2024-06-01,0.6550460702560917
2024-07-01,-1.2274106801453777
2024-08-01,0.05661289307514844
2024-09-01,0.7219889810195392
2024-10-01,-0.8373517486132651
2024-11-01,-0.41760951231264176
2024-12-01,-0.09510736053880525
2025-01-01,3.297995201724481
2025-02-01,-0.3935552176685806
2025-03-01,2.2799302800876533
2025-04-01,-1.0169139436268586
2025-05-01,-0.40017633683389525
2025-06-01,1.0528612977430725
2025-07-01,-1.2543953924576803
2025-08-01,-0.28906663110780323
2025-09-01,0.47948078729927857
2025-10-01,-1.182823008030935
2025-11-01,-0.9775356999045729
