date,consumption_index
2018-11-01,0.15214766612405325
2018-12-01,0.15882052132483063
2019-03-01,-0.6390577940981769
2019-04-01,-0.7995468043442204
2019-05-01,-0.46737468517388897
2019-06-01,-0.34111400928734037
2019-07-01,-0.4921818054885656
2019-08-01,-0.32579215424060454
2019-09-01,-0.29454444519008377
2019-10-01,0.27415922660181974
2019-11-01,0.5567666278296567
2019-12-01,0.5514114066035876
2020-03-01,-2.90910392973453
2020-04-01,-2.2404096886943807
2020-05-01,-1.2317966222897696
2020-06-01,-0.9008164052403235
2020-07-01,-0.9231728026879051
2020-08-01,-0.62160576761663
2020-09-01,-0.3389491914351415
2020-10-01,0.36973181426182933
2020-11-01,0.7642431810492244
2020-12-01,0.8193952424866717
2021-03-01,0.9157741999885758
2021-04-01,0.18333915448890425
2021-05-01,0.23685224794542284
2021-06-01,0.3165966729655793
2021-07-01,-0.19313881083260828
2021-08-01,-0.5725509157670121
2021-09-01,-0.16978877210049725
2021-10-01,0.32727033792809324
2021-11-01,0.5036280266380518
2021-12-01,0.5150897682711806
2022-03-01,-1.2033931178135413
2022-04-01,-2.1002782745554573
2022-05-01,-1.507447406716912
2022-06-01,-0.29920105220077664
2022-07-01,-0.6209783922451483
2022-08-01,-0.4837517437975942
2022-09-01,-0.3827149637775081
2022-10-01,-0.09927619273221387
2022-11-01,-0.2206902131843772
2022-12-01,-0.1103988205809911
2023-03-01,0.12789770425902758
2023-04-01,0.18703680122220723
2023-05-01,0.455222711790297
2023-06-01,0.44500730595295424
2023-07-01,0.059667962830318645
2023-08-01,0.20264510137416927
2023-09-01,0.4030520992375748
2023-10-01,0.985040842086975
2023-11-01,1.3756933730134862
2023-12-01,1.331232488727395
2024-03-01,0.06161582870403844
2024-04-01,-0.34126531130419724
2024-05-01,0.20481924985424535
2024-06-01,0.4780780861753258
2024-07-01,0.1407007778773437
2024-08-01,0.18548843245448357
2024-09-01,0.45040799195216746
2024-10-01,1.1347004811346413
2024-11-01,1.3682649668169
2024-12-01,1.3992942441783411
2025-03-01,0.4337767711250258
2025-04-01,0.06463026199127507
2025-05-01,0.6148842858151881
2025-06-01,0.7413276722195877
2025-07-01,0.3395962112608922
2025-08-01,0.39734271948402106
2025-09-01,0.5976896270850661
