date,investment_index
2023-03-01,0.7736776998447951
2023-04-01,0.6460750874762982
2023-05-01,0.303617551837296
2023-06-01,0.23568178798369055
2023-07-01,0.21724083022799254
2023-08-01,0.22150866010111292
2023-09-01,0.30300289606681036
2023-10-01,0.24153459665590418
2023-11-01,0.19974739900773056
2023-12-01,0.1977967339332629
2024-02-01,0.8541804431863348
2024-03-01,0.7346291424985855
2024-04-01,0.5677393404182549
2024-05-01,0.6247144504029113
2024-06-01,0.5652629424238969
2024-07-01,0.45074447311925153
2024-08-01,0.3736158773334772
2024-09-01,0.2999892964620295
2024-10-01,0.3021019531908688
2024-11-01,0.2552811107107809
2024-12-01,0.19462114267411065
2025-02-01,-0.061027858722789374
2025-03-01,0.029552511412066097
2025-04-01,-0.11111452409801109
2025-05-01,-0.29893640441417185
2025-06-01,-0.5888061351805672
2025-07-01,-0.9527431469074165
2025-08-01,-1.2665509768436019
2025-09-01,-1.5715958424705614
2025-10-01,-1.7772103958127001
2025-11-01,-1.9643306425176357
