date,house_type,yoy_median,disp_mad,share_pos,share_deep_neg,n,stabilization_score,stabilization_prob,regime_label,low_tail_threshold,neutral_threshold
2025-01-01,二手房,94.6,1.2000000000000028,0.06060606060606061,0.6060606060606061,33.0,,,insufficient_coverage,95.0,100.0
2025-01-01,新房,94.6,1.2000000000000028,0.06060606060606061,0.6060606060606061,33.0,,,insufficient_coverage,95.0,100.0
2025-02-01,二手房,92.6,1.6000000000000085,0.0,0.9076923076923077,65.0,-2.8669774099636665,0.05381033914676669,deteriorating,95.0,100.0
2025-02-01,新房,94.3,1.0,0.03076923076923077,0.6615384615384615,65.0,-0.7314980152723285,0.32486608439773323,deteriorating,95.0,100.0
2025-03-01,二手房,92.8,1.5999999999999943,0.0,0.8461538461538461,65.0,0.3263069038624953,0.5808605192778877,transition,95.0,100.0
2025-03-01,新房,94.5,1.0999999999999943,0.03076923076923077,0.6,65.0,-0.15317649534847194,0.46178057560939373,transition,95.0,100.0
2025-04-01,二手房,93.1,1.3999999999999915,0.0,0.8153846153846154,65.0,0.6038257414745016,0.6465310870504442,transition,95.0,100.0
2025-04-01,新房,95.1,1.1000000000000085,0.046153846153846156,0.47692307692307695,65.0,0.7109892662308306,0.6706197146229229,stabilizing,95.0,100.0
2025-05-01,二手房,93.6,1.3000000000000114,0.0,0.7692307692307693,65.0,0.5571513921895475,0.6357931715496482,transition,95.0,100.0
2025-05-01,新房,95.7,1.2999999999999972,0.046153846153846156,0.3384615384615385,65.0,0.27449750939640316,0.5681967020329352,transition,95.0,100.0
2025-06-01,新房,95.9,1.1999999999999886,0.046153846153846156,0.2923076923076923,65.0,0.14247448154266137,0.5355584906409763,transition,95.0,100.0
2025-06-01,二手房,93.9,1.2999999999999972,0.0,0.7230769230769231,65.0,0.3257600195367192,0.5807273680730063,transition,95.0,100.0
2025-07-01,新房,96.1,1.2999999999999972,0.07692307692307693,0.24615384615384617,65.0,0.06764399347564165,0.5169045529996195,transition,95.0,100.0
2025-07-01,二手房,94.2,1.2000000000000028,0.0,0.676923076923077,65.0,0.4834833365726936,0.6185700759148378,transition,95.0,100.0
2025-08-01,新房,96.5,1.0,0.07692307692307693,0.1076923076923077,65.0,1.0149652925761523,0.7339907400099345,stabilizing,95.0,100.0
2025-08-01,二手房,94.5,1.0,0.0,0.6461538461538462,65.0,0.6038257414745016,0.6465310870504442,transition,95.0,100.0
2025-09-01,新房,97.1,1.1000000000000085,0.13846153846153847,0.1076923076923077,65.0,0.4683670135835686,0.6149971776534825,transition,95.0,100.0
2025-09-01,二手房,94.7,1.0,0.0,0.5846153846153846,65.0,0.32630690386247285,0.5808605192778823,transition,95.0,100.0
2025-10-01,新房,97.1,1.0,0.13846153846153847,0.07692307692307693,65.0,-0.06919892622435089,0.48270716844117467,transition,95.0,100.0
2025-10-01,二手房,94.8,0.9000000000000057,0.0,0.6153846153846154,65.0,0.22291072028473258,0.5554980656690995,transition,95.0,100.0
2025-11-01,新房,96.7,1.0,0.09230769230769231,0.1076923076923077,65.0,-1.2150462476904156,0.22880939367532638,deteriorating,95.0,100.0
2025-11-01,二手房,94.2,1.0,0.0,0.6615384615384615,65.0,-0.387755020580548,0.40425785040898027,transition,95.0,100.0
2025-12-01,二手房,94.0,1.0,0.0,0.7538461538461538,65.0,-0.19483832871344953,0.4514439277530024,transition,95.0,100.0
2025-12-01,新房,96.7,1.0,0.07692307692307693,0.1076923076923077,65.0,-0.5100178722696904,0.37518933586369174,transition,95.0,100.0
