date,market,num_cities,median_pct,mad_pct,breadth_up,tail_down,share_95_100,low_tail_threshold,neutral_threshold,distribution_field
2025-01-01,existing,33,-0.054000000000000055,0.012000000000000025,0.06060606060606061,0.6060606060606061,0.3333333333333333,95.0,100.0,yoy_index
2025-02-01,existing,65,-0.07400000000000005,0.016000000000000084,0.0,0.9076923076923077,0.09230769230769231,95.0,100.0,yoy_index
2025-03-01,existing,65,-0.07200000000000002,0.015999999999999945,0.0,0.8461538461538461,0.15384615384615385,95.0,100.0,yoy_index
2025-04-01,existing,65,-0.06900000000000006,0.013999999999999915,0.0,0.8153846153846154,0.18461538461538463,95.0,100.0,yoy_index
2025-05-01,existing,65,-0.06400000000000006,0.013000000000000116,0.0,0.7692307692307693,0.23076923076923078,95.0,100.0,yoy_index
2025-06-01,existing,65,-0.06099999999999994,0.01299999999999997,0.0,0.7230769230769231,0.27692307692307694,95.0,100.0,yoy_index
2025-07-01,existing,65,-0.05799999999999997,0.012000000000000025,0.0,0.676923076923077,0.3230769230769231,95.0,100.0,yoy_index
2025-08-01,existing,65,-0.055,0.010000000000000002,0.0,0.6461538461538462,0.35384615384615387,95.0,100.0,yoy_index
2025-09-01,existing,65,-0.05299999999999997,0.010000000000000002,0.0,0.5846153846153846,0.4153846153846154,95.0,100.0,yoy_index
2025-10-01,existing,65,-0.052000000000000025,0.009000000000000057,0.0,0.6153846153846154,0.38461538461538464,95.0,100.0,yoy_index
2025-11-01,existing,65,-0.05799999999999997,0.010000000000000009,0.0,0.6615384615384615,0.3384615384615385,95.0,100.0,yoy_index
2025-12-01,existing,65,-0.06,0.010000000000000009,0.0,0.7538461538461538,0.24615384615384617,95.0,100.0,yoy_index
2025-01-01,new,33,-0.054000000000000055,0.012000000000000025,0.06060606060606061,0.6060606060606061,0.3333333333333333,95.0,100.0,yoy_index
2025-02-01,new,65,-0.05700000000000003,0.010000000000000002,0.03076923076923077,0.6615384615384615,0.3076923076923077,95.0,100.0,yoy_index
2025-03-01,new,65,-0.055,0.01099999999999994,0.03076923076923077,0.6,0.36923076923076925,95.0,100.0,yoy_index
2025-04-01,new,65,-0.04900000000000006,0.011000000000000086,0.046153846153846156,0.47692307692307695,0.47692307692307695,95.0,100.0,yoy_index
2025-05-01,new,65,-0.04299999999999997,0.01299999999999997,0.046153846153846156,0.3384615384615385,0.6153846153846154,95.0,100.0,yoy_index
2025-06-01,new,65,-0.040999999999999946,0.01199999999999989,0.046153846153846156,0.2923076923076923,0.6615384615384615,95.0,100.0,yoy_index
2025-07-01,new,65,-0.039000000000000055,0.01299999999999997,0.07692307692307693,0.24615384615384617,0.676923076923077,95.0,100.0,yoy_index
2025-08-01,new,65,-0.035,0.009999999999999995,0.07692307692307693,0.1076923076923077,0.8153846153846154,95.0,100.0,yoy_index
2025-09-01,new,65,-0.029000000000000057,0.011000000000000086,0.13846153846153847,0.1076923076923077,0.7538461538461538,95.0,100.0,yoy_index
2025-10-01,new,65,-0.029000000000000057,0.009999999999999998,0.13846153846153847,0.07692307692307693,0.7846153846153846,95.0,100.0,yoy_index
2025-11-01,new,65,-0.032999999999999974,0.009999999999999995,0.09230769230769231,0.1076923076923077,0.8,95.0,100.0,yoy_index
2025-12-01,new,65,-0.032999999999999974,0.010000000000000002,0.07692307692307693,0.1076923076923077,0.8153846153846154,95.0,100.0,yoy_index
