date,market,city,mom_index,yoy_index,ytd_index,mom_pct,yoy_pct,ytd_pct
2025-01-01,new,青岛,100.1,94.8,,0.0009999999999999432,-0.052000000000000025,
2025-02-01,existing,三亚,99.8,93.1,93.0,-0.0020000000000000282,-0.06900000000000006,-0.07
2025-02-01,existing,上海,99.6,97.9,97.8,-0.0040000000000000565,-0.020999999999999942,-0.02200000000000003
2025-02-01,existing,丹东,100.0,89.6,89.5,0.0,-0.10400000000000005,-0.105
2025-02-01,existing,乌鲁木齐,99.7,94.2,94.1,-0.0029999999999999714,-0.05799999999999997,-0.05900000000000006
2025-02-01,existing,九江,99.8,91.1,91.0,-0.0020000000000000282,-0.08900000000000005,-0.09
2025-02-01,existing,兰州,99.9,91.0,90.9,-0.0009999999999999432,-0.09,-0.09099999999999994
2025-02-01,existing,包头,99.8,89.4,89.1,-0.0020000000000000282,-0.10599999999999994,-0.10900000000000006
2025-02-01,existing,北京,100.0,97.1,96.6,0.0,-0.029000000000000057,-0.03400000000000006
2025-02-01,existing,北海,99.4,94.6,94.7,-0.005999999999999943,-0.054000000000000055,-0.05299999999999997
2025-02-01,existing,南京,99.7,94.9,94.6,-0.0029999999999999714,-0.05099999999999994,-0.054000000000000055
2025-02-01,existing,南充,99.7,93.2,93.2,-0.0029999999999999714,-0.06799999999999998,-0.06799999999999998
2025-02-01,existing,南宁,99.6,91.1,91.0,-0.0040000000000000565,-0.08900000000000005,-0.09
2025-02-01,existing,南昌,99.7,89.5,89.4,-0.0029999999999999714,-0.105,-0.10599999999999994
2025-02-01,existing,厦门,99.7,90.0,89.6,-0.0029999999999999714,-0.1,-0.10400000000000005
2025-02-01,existing,合肥,99.7,91.8,91.7,-0.0029999999999999714,-0.08200000000000003,-0.08299999999999998
2025-02-01,existing,吉林,99.8,94.2,94.1,-0.0020000000000000282,-0.05799999999999997,-0.05900000000000006
2025-02-01,existing,呼和浩特,99.6,88.8,88.7,-0.0040000000000000565,-0.11200000000000003,-0.11299999999999998
2025-02-01,existing,唐山,99.4,88.6,88.6,-0.005999999999999943,-0.11400000000000006,-0.11400000000000006
2025-02-01,existing,大理,99.7,92.7,92.5,-0.0029999999999999714,-0.07299999999999997,-0.075
2025-02-01,existing,大连,99.3,90.7,90.8,-0.007000000000000029,-0.09299999999999997,-0.09200000000000003
2025-02-01,existing,天津,99.6,94.5,94.4,-0.0040000000000000565,-0.055,-0.055999999999999946
2025-02-01,existing,太原,99.4,95.6,95.6,-0.005999999999999943,-0.04400000000000006,-0.04400000000000006
2025-02-01,existing,宁波,99.6,92.0,91.8,-0.0040000000000000565,-0.08,-0.08200000000000003
2025-02-01,existing,安庆,99.4,91.1,91.1,-0.005999999999999943,-0.08900000000000005,-0.08900000000000005
2025-02-01,existing,宜昌,99.6,92.8,92.8,-0.0040000000000000565,-0.07200000000000002,-0.07200000000000002
2025-02-01,existing,岳阳,99.9,94.1,94.0,-0.0009999999999999432,-0.05900000000000006,-0.06
2025-02-01,existing,常德,99.7,91.1,90.8,-0.0029999999999999714,-0.08900000000000005,-0.09200000000000003
2025-02-01,existing,广州,99.7,90.6,90.3,-0.0029999999999999714,-0.09400000000000006,-0.09700000000000003
2025-02-01,existing,徐州,99.2,92.6,92.7,-0.007999999999999972,-0.07400000000000005,-0.07299999999999997
2025-02-01,existing,惠州,99.5,89.8,89.7,-0.005,-0.10200000000000004,-0.10299999999999997
2025-02-01,existing,成都,100.2,96.2,95.7,0.0020000000000000282,-0.03799999999999997,-0.04299999999999997
2025-02-01,existing,扬州,99.1,90.9,91.1,-0.009000000000000057,-0.09099999999999994,-0.08900000000000005
2025-02-01,existing,无锡,99.9,92.7,92.8,-0.0009999999999999432,-0.07299999999999997,-0.07200000000000002
2025-02-01,existing,昆明,99.5,92.3,92.7,-0.005,-0.07700000000000003,-0.07299999999999997
2025-02-01,existing,杭州,99.8,95.9,95.7,-0.0020000000000000282,-0.040999999999999946,-0.04299999999999997
2025-02-01,existing,桂林,99.5,94.2,94.3,-0.005,-0.05799999999999997,-0.05700000000000003
2025-02-01,existing,武汉,99.4,91.0,90.5,-0.005999999999999943,-0.09,-0.095
2025-02-01,existing,沈阳,99.7,93.4,93.1,-0.0029999999999999714,-0.06599999999999995,-0.06900000000000006
2025-02-01,existing,泉州,99.9,89.1,89.0,-0.0009999999999999432,-0.10900000000000006,-0.11
2025-02-01,existing,泸州,99.5,91.8,91.9,-0.005,-0.08200000000000003,-0.08099999999999995
