region,value_2024,value_2025,delta,pct_change,share_2024,share_2025,share_delta,region_en
亚太经济合作组织,1361602584.0,1388409233.0,26806649.0,0.019687572067651128,0.5910165351563036,0.5676736348909266,-0.023342900265376998,APEC
共建“一带一路”国家和地区,,1234496571.0,,,,0.5047439465709422,,Belt and Road countries & regions
区域全面经济伙伴关系协定（RCEP）成员国,,681042305.0,,,,0.2784551928961748,,RCEP members
东南亚国家联盟,374374355.0,429051660.0,54677305.0,0.14604981422939614,0.16250074488950586,0.17542473040309,0.012923985513584146,ASEAN
欧洲联盟,333885869.0,363924493.0,30038624.0,0.08996674249786833,0.14492633294975554,0.148796431813377,0.0038700988636214684,European Union
美国,338193966.0,276472620.0,-61721346.0,-0.1825028007743935,0.14679630337429556,0.11304031506913632,-0.03375598830515923,United States
总值,2303831624.0,2445787769.0,141956145.0,0.0616174131482449,1.0,1.0,0.0,Total
