bucket,value_2024,value_2025,delta,pct_change,share_2024,share_2025,share_delta,bucket_en
总值,222171762.0,234563445.0,12391683.0,0.055775238439167624,0.48543885725946717,0.35809294692317306,-0.1273459103362941,Total
EM,38200273.0,228669826.0,3038787.0,0.07954882940234485,0.08346648874360404,0.349095537306545,0.265629048562941,EM
亚太经济合作组织,134447299.0,134319814.0,-127485.0,-0.0009482154044611934,0.29376344950706157,0.20505743350347058,-0.08870601600359099,APEC
DM,62852644.0,57482003.0,-5370641.0,-0.08544813166491452,0.1373312044898672,0.08775408226681133,-0.04957712222305585,DM
