bucket,value_2024,value_2025,delta,pct_change,share_2024,share_2025,share_delta,bucket_en
总值,2303831624.0,2445787769.0,141956145.0,0.0616174131482449,0.48894019327322785,0.3586627865607565,-0.13027740671247134,Total
EM,374374355.0,2344590536.0,54677305.0,0.14604981422939614,0.0794531456133185,0.3438227084313045,0.264369562817986,EM
亚太经济合作组织,1361602584.0,1388409233.0,26806649.0,0.019687572067651128,0.28897173892699657,0.20360340774705324,-0.08536833117994333,APEC
DM,672079835.0,640397113.0,-31682722.0,-0.04714130725258257,0.1426349221864571,0.09391109726088571,-0.04872382492557138,DM
