dataset,series,date,value
consumption,城镇社会消费品零售总额（亿元）,2022-11-01,33204.2
consumption,城镇社会消费品零售总额（亿元）,2022-12-01,34594.4
consumption,城镇社会消费品零售总额（亿元）,2023-03-01,32868.0
consumption,城镇社会消费品零售总额（亿元）,2023-04-01,30397.9
consumption,城镇社会消费品零售总额（亿元）,2023-05-01,32906.1
consumption,城镇社会消费品零售总额（亿元）,2023-06-01,34563.5
consumption,城镇社会消费品零售总额（亿元）,2023-07-01,31920.1
consumption,城镇社会消费品零售总额（亿元）,2023-08-01,32973.7
consumption,城镇社会消费品零售总额（亿元）,2023-09-01,33984.6
consumption,城镇社会消费品零售总额（亿元）,2023-10-01,37478.8
consumption,城镇社会消费品零售总额（亿元）,2023-11-01,36530.2
consumption,城镇社会消费品零售总额（亿元）,2023-12-01,37071.0
consumption,城镇社会消费品零售总额（亿元）,2024-03-01,33843.4
consumption,城镇社会消费品零售总额（亿元）,2024-04-01,31026.4
consumption,城镇社会消费品零售总额（亿元）,2024-05-01,34111.2
consumption,城镇社会消费品零售总额（亿元）,2024-06-01,35140.8
consumption,城镇社会消费品零售总额（亿元）,2024-07-01,32691.4
consumption,城镇社会消费品零售总额（亿元）,2024-08-01,33574.6
consumption,城镇社会消费品零售总额（亿元）,2024-09-01,35044.4
consumption,城镇社会消费品零售总额（亿元）,2024-10-01,39255.0
consumption,城镇社会消费品零售总额（亿元）,2024-11-01,37595.9
consumption,城镇社会消费品零售总额（亿元）,2024-12-01,38445.0
consumption,城镇社会消费品零售总额（亿元）,2025-03-01,35595.4
consumption,城镇社会消费品零售总额（亿元）,2025-04-01,32376.3
consumption,城镇社会消费品零售总额（亿元）,2025-05-01,36056.8
consumption,城镇社会消费品零售总额（亿元）,2025-06-01,36559.4
consumption,城镇社会消费品零售总额（亿元）,2025-07-01,33619.7
consumption,城镇社会消费品零售总额（亿元）,2025-08-01,34386.5
consumption,城镇社会消费品零售总额（亿元）,2025-09-01,35782.6
consumption,月度社会消费品零售总额（亿元）,2018-11-01,35259.7
consumption,月度社会消费品零售总额（亿元）,2018-12-01,35893.5
consumption,月度社会消费品零售总额（亿元）,2019-03-01,31725.7
consumption,月度社会消费品零售总额（亿元）,2019-04-01,30586.1
consumption,月度社会消费品零售总额（亿元）,2019-05-01,32955.7
consumption,月度社会消费品零售总额（亿元）,2019-06-01,33878.1
consumption,月度社会消费品零售总额（亿元）,2019-07-01,33073.3
consumption,月度社会消费品零售总额（亿元）,2019-08-01,33896.3
consumption,月度社会消费品零售总额（亿元）,2019-09-01,34494.9
consumption,月度社会消费品零售总额（亿元）,2019-10-01,38104.3
consumption,月度社会消费品零售总额（亿元）,2019-11-01,38093.8
consumption,月度社会消费品零售总额（亿元）,2019-12-01,38776.7
consumption,月度社会消费品零售总额（亿元）,2020-03-01,26449.9
consumption,月度社会消费品零售总额（亿元）,2020-04-01,28177.8
consumption,月度社会消费品零售总额（亿元）,2020-05-01,31972.8
consumption,月度社会消费品零售总额（亿元）,2020-06-01,33525.9
consumption,月度社会消费品零售总额（亿元）,2020-07-01,32202.5
consumption,月度社会消费品零售总额（亿元）,2020-08-01,33570.6
consumption,月度社会消费品零售总额（亿元）,2020-09-01,35294.7
consumption,月度社会消费品零售总额（亿元）,2020-10-01,38576.5
consumption,月度社会消费品零售总额（亿元）,2020-11-01,39514.2
consumption,月度社会消费品零售总额（亿元）,2020-12-01,40566.0
consumption,月度社会消费品零售总额（亿元）,2021-03-01,35484.1
consumption,月度社会消费品零售总额（亿元）,2021-04-01,33152.6
consumption,月度社会消费品零售总额（亿元）,2021-05-01,35945.1
consumption,月度社会消费品零售总额（亿元）,2021-06-01,37585.8
consumption,月度社会消费品零售总额（亿元）,2021-07-01,34925.1
consumption,月度社会消费品零售总额（亿元）,2021-08-01,34394.9
consumption,月度社会消费品零售总额（亿元）,2021-09-01,36833.0
consumption,月度社会消费品零售总额（亿元）,2021-10-01,40453.9
consumption,月度社会消费品零售总额（亿元）,2021-11-01,41043.2
consumption,月度社会消费品零售总额（亿元）,2021-12-01,41268.9
consumption,月度社会消费品零售总额（亿元）,2022-03-01,34233.1
consumption,月度社会消费品零售总额（亿元）,2022-04-01,29483.1
consumption,月度社会消费品零售总额（亿元）,2022-05-01,33547.0
consumption,月度社会消费品零售总额（亿元）,2022-06-01,38742.5
consumption,月度社会消费品零售总额（亿元）,2022-07-01,35870.1
consumption,月度社会消费品零售总额（亿元）,2022-08-01,36257.9
consumption,月度社会消费品零售总额（亿元）,2022-09-01,37744.9
consumption,月度社会消费品零售总额（亿元）,2022-10-01,40270.5
consumption,月度社会消费品零售总额（亿元）,2022-11-01,38615.1
consumption,月度社会消费品零售总额（亿元）,2022-12-01,40542.3
consumption,月度社会消费品零售总额（亿元）,2023-03-01,37855.4
consumption,月度社会消费品零售总额（亿元）,2023-04-01,34910.5
consumption,月度社会消费品零售总额（亿元）,2023-05-01,37803.3
consumption,月度社会消费品零售总额（亿元）,2023-06-01,39951.4
consumption,月度社会消费品零售总额（亿元）,2023-07-01,36760.7
consumption,月度社会消费品零售总额（亿元）,2023-08-01,37932.7
consumption,月度社会消费品零售总额（亿元）,2023-09-01,39826.0
consumption,月度社会消费品零售总额（亿元）,2023-10-01,43333.0
consumption,月度社会消费品零售总额（亿元）,2023-11-01,42505.0
consumption,月度社会消费品零售总额（亿元）,2023-12-01,43550.2
consumption,月度社会消费品零售总额（亿元）,2024-03-01,39019.9
consumption,月度社会消费品零售总额（亿元）,2024-04-01,35699.1
consumption,月度社会消费品零售总额（亿元）,2024-05-01,39211.0
consumption,月度社会消费品零售总额（亿元）,2024-06-01,40731.6
consumption,月度社会消费品零售总额（亿元）,2024-07-01,37757.4
consumption,月度社会消费品零售总额（亿元）,2024-08-01,38725.8
consumption,月度社会消费品零售总额（亿元）,2024-09-01,41112.3
consumption,月度社会消费品零售总额（亿元）,2024-10-01,45396.4
consumption,月度社会消费品零售总额（亿元）,2024-11-01,43763.0
consumption,月度社会消费品零售总额（亿元）,2024-12-01,45171.5
consumption,月度社会消费品零售总额（亿元）,2025-03-01,40940.5
consumption,月度社会消费品零售总额（亿元）,2025-04-01,37174.1
consumption,月度社会消费品零售总额（亿元）,2025-05-01,41325.8
consumption,月度社会消费品零售总额（亿元）,2025-06-01,42287.4
consumption,月度社会消费品零售总额（亿元）,2025-07-01,38780.2
consumption,月度社会消费品零售总额（亿元）,2025-08-01,39667.6
consumption,月度社会消费品零售总额（亿元）,2025-09-01,41971.0
consumption,服务业生产指数(当月同比增速%),2018-11-01,7.3
consumption,服务业生产指数(当月同比增速%),2018-12-01,7.3
consumption,服务业生产指数(当月同比增速%),2019-03-01,7.6
consumption,服务业生产指数(当月同比增速%),2019-04-01,7.4
consumption,服务业生产指数(当月同比增速%),2019-05-01,7.0
consumption,服务业生产指数(当月同比增速%),2019-06-01,7.1
consumption,服务业生产指数(当月同比增速%),2019-07-01,6.3
consumption,服务业生产指数(当月同比增速%),2019-08-01,6.4
consumption,服务业生产指数(当月同比增速%),2019-09-01,6.7
consumption,服务业生产指数(当月同比增速%),2019-10-01,6.6
consumption,服务业生产指数(当月同比增速%),2019-11-01,6.8
consumption,服务业生产指数(当月同比增速%),2019-12-01,6.8
consumption,服务业生产指数(当月同比增速%),2020-03-01,-9.1
consumption,服务业生产指数(当月同比增速%),2020-04-01,-4.5
consumption,服务业生产指数(当月同比增速%),2020-05-01,1.0
consumption,服务业生产指数(当月同比增速%),2020-06-01,2.3
consumption,服务业生产指数(当月同比增速%),2020-07-01,3.5
consumption,服务业生产指数(当月同比增速%),2020-08-01,4.0
consumption,服务业生产指数(当月同比增速%),2020-09-01,5.4
consumption,服务业生产指数(当月同比增速%),2020-10-01,7.4
consumption,服务业生产指数(当月同比增速%),2020-11-01,8.0
consumption,服务业生产指数(当月同比增速%),2020-12-01,7.7
consumption,服务业生产指数(当月同比增速%),2021-03-01,25.3
consumption,服务业生产指数(当月同比增速%),2021-04-01,18.2
consumption,服务业生产指数(当月同比增速%),2021-05-01,12.5
consumption,服务业生产指数(当月同比增速%),2021-06-01,10.9
consumption,服务业生产指数(当月同比增速%),2021-07-01,7.8
consumption,服务业生产指数(当月同比增速%),2021-08-01,4.8
consumption,服务业生产指数(当月同比增速%),2021-09-01,5.2
consumption,服务业生产指数(当月同比增速%),2021-10-01,3.8
consumption,服务业生产指数(当月同比增速%),2021-11-01,3.1
consumption,服务业生产指数(当月同比增速%),2021-12-01,3.0
consumption,服务业生产指数(当月同比增速%),2022-03-01,-0.9
consumption,服务业生产指数(当月同比增速%),2022-04-01,-6.1
consumption,服务业生产指数(当月同比增速%),2022-05-01,-5.1
consumption,服务业生产指数(当月同比增速%),2022-06-01,1.3
consumption,服务业生产指数(当月同比增速%),2022-07-01,0.6
consumption,服务业生产指数(当月同比增速%),2022-08-01,1.8
consumption,服务业生产指数(当月同比增速%),2022-09-01,1.3
consumption,服务业生产指数(当月同比增速%),2022-10-01,0.1
consumption,服务业生产指数(当月同比增速%),2022-11-01,-1.9
consumption,服务业生产指数(当月同比增速%),2022-12-01,-0.8
consumption,服务业生产指数(当月同比增速%),2023-03-01,9.2
consumption,服务业生产指数(当月同比增速%),2023-04-01,13.5
consumption,服务业生产指数(当月同比增速%),2023-05-01,11.7
consumption,服务业生产指数(当月同比增速%),2023-06-01,6.8
consumption,服务业生产指数(当月同比增速%),2023-07-01,5.7
consumption,服务业生产指数(当月同比增速%),2023-08-01,6.8
consumption,服务业生产指数(当月同比增速%),2023-09-01,6.9
consumption,服务业生产指数(当月同比增速%),2023-10-01,7.7
consumption,服务业生产指数(当月同比增速%),2023-11-01,9.3
consumption,服务业生产指数(当月同比增速%),2023-12-01,8.5
consumption,服务业生产指数(当月同比增速%),2024-03-01,5.0
consumption,服务业生产指数(当月同比增速%),2024-04-01,3.5
consumption,服务业生产指数(当月同比增速%),2024-05-01,4.8
consumption,服务业生产指数(当月同比增速%),2024-06-01,4.7
consumption,服务业生产指数(当月同比增速%),2024-07-01,4.8
consumption,服务业生产指数(当月同比增速%),2024-08-01,4.6
consumption,服务业生产指数(当月同比增速%),2024-09-01,5.1
consumption,服务业生产指数(当月同比增速%),2024-10-01,6.3
consumption,服务业生产指数(当月同比增速%),2024-11-01,6.1
consumption,服务业生产指数(当月同比增速%),2024-12-01,6.5
consumption,服务业生产指数(当月同比增速%),2025-03-01,6.3
consumption,服务业生产指数(当月同比增速%),2025-04-01,6.0
consumption,服务业生产指数(当月同比增速%),2025-05-01,6.2
consumption,服务业生产指数(当月同比增速%),2025-06-01,6.0
consumption,服务业生产指数(当月同比增速%),2025-07-01,5.8
consumption,服务业生产指数(当月同比增速%),2025-08-01,5.6
consumption,服务业生产指数(当月同比增速%),2025-09-01,5.6
consumption,限上单位消费品零售额（亿元）,2018-11-01,13678.7
consumption,限上单位消费品零售额（亿元）,2018-12-01,15084.0
consumption,限上单位消费品零售额（亿元）,2019-03-01,11952.5
consumption,限上单位消费品零售额（亿元）,2019-04-01,11120.1
consumption,限上单位消费品零售额（亿元）,2019-05-01,11693.8
consumption,限上单位消费品零售额（亿元）,2019-06-01,13163.4
consumption,限上单位消费品零售额（亿元）,2019-07-01,11412.1
consumption,限上单位消费品零售额（亿元）,2019-08-01,11772.1
consumption,限上单位消费品零售额（亿元）,2019-09-01,12835.4
consumption,限上单位消费品零售额（亿元）,2019-10-01,12322.1
consumption,限上单位消费品零售额（亿元）,2019-11-01,13964.7
consumption,限上单位消费品零售额（亿元）,2019-12-01,15337.6
consumption,限上单位消费品零售额（亿元）,2020-03-01,9984.3
consumption,限上单位消费品零售额（亿元）,2020-04-01,10588.3
consumption,限上单位消费品零售额（亿元）,2020-05-01,11664.2
consumption,限上单位消费品零售额（亿元）,2020-06-01,13106.9
consumption,限上单位消费品零售额（亿元）,2020-07-01,11351.3
consumption,限上单位消费品零售额（亿元）,2020-08-01,12136.1
consumption,限上单位消费品零售额（亿元）,2020-09-01,13376.4
consumption,限上单位消费品零售额（亿元）,2020-10-01,13095.0
consumption,限上单位消费品零售额（亿元）,2020-11-01,15190.3
consumption,限上单位消费品零售额（亿元）,2020-12-01,16300.8
consumption,限上单位消费品零售额（亿元）,2021-03-01,13699.7
consumption,限上单位消费品零售额（亿元）,2021-04-01,12592.4
consumption,限上单位消费品零售额（亿元）,2021-05-01,13214.4
consumption,限上单位消费品零售额（亿元）,2021-06-01,14890.7
consumption,限上单位消费品零售额（亿元）,2021-07-01,12425.2
consumption,限上单位消费品零售额（亿元）,2021-08-01,12342.5
consumption,限上单位消费品零售额（亿元）,2021-09-01,13902.0
consumption,限上单位消费品零售额（亿元）,2021-10-01,13866.7
consumption,限上单位消费品零售额（亿元）,2021-11-01,16030.8
consumption,限上单位消费品零售额（亿元）,2021-12-01,16703.2
consumption,限上单位消费品零售额（亿元）,2022-03-01,13630.7
consumption,限上单位消费品零售额（亿元）,2022-04-01,11012.0
consumption,限上单位消费品零售额（亿元）,2022-05-01,12713.0
consumption,限上单位消费品零售额（亿元）,2022-06-01,16540.6
consumption,限上单位消费品零售额（亿元）,2022-07-01,13737.1
consumption,限上单位消费品零售额（亿元）,2022-08-01,14017.9
consumption,限上单位消费品零售额（亿元）,2022-09-01,15234.4
consumption,限上单位消费品零售额（亿元）,2022-10-01,14290.6
consumption,限上单位消费品零售额（亿元）,2022-11-01,15606.6
consumption,限上单位消费品零售额（亿元）,2022-12-01,17070.7
consumption,限上单位消费品零售额（亿元）,2023-03-01,15459.1
consumption,限上单位消费品零售额（亿元）,2023-04-01,13228.1
consumption,限上单位消费品零售额（亿元）,2023-05-01,14033.4
consumption,限上单位消费品零售额（亿元）,2023-06-01,16658.3
consumption,限上单位消费品零售额（亿元）,2023-07-01,13762.0
consumption,限上单位消费品零售额（亿元）,2023-08-01,14460.8
consumption,限上单位消费品零售额（亿元）,2023-09-01,15890.3
consumption,限上单位消费品零售额（亿元）,2023-10-01,15362.6
consumption,限上单位消费品零售额（亿元）,2023-11-01,16857.8
consumption,限上单位消费品零售额（亿元）,2023-12-01,17885.4
consumption,限上单位消费品零售额（亿元）,2024-03-01,15535.1
consumption,限上单位消费品零售额（亿元）,2024-04-01,13640.9
consumption,限上单位消费品零售额（亿元）,2024-05-01,14988.2
consumption,限上单位消费品零售额（亿元）,2024-06-01,16994.0
consumption,限上单位消费品零售额（亿元）,2024-07-01,14282.8
consumption,限上单位消费品零售额（亿元）,2024-08-01,14925.5
consumption,限上单位消费品零售额（亿元）,2024-09-01,16901.2
consumption,限上单位消费品零售额（亿元）,2024-10-01,16985.5
consumption,限上单位消费品零售额（亿元）,2024-11-01,17748.1
consumption,限上单位消费品零售额（亿元）,2024-12-01,19453.4
consumption,限上单位消费品零售额（亿元）,2025-03-01,17239.0
consumption,限上单位消费品零售额（亿元）,2025-04-01,14991.6
consumption,限上单位消费品零售额（亿元）,2025-05-01,16715.8
consumption,限上单位消费品零售额（亿元）,2025-06-01,18327.3
consumption,限上单位消费品零售额（亿元）,2025-07-01,15213.7
consumption,限上单位消费品零售额（亿元）,2025-08-01,15841.5
consumption,限上单位消费品零售额（亿元）,2025-09-01,17776.1
consumption,餐饮收入（亿元）,2018-11-01,4525.0
consumption,餐饮收入（亿元）,2018-12-01,4421.6
consumption,餐饮收入（亿元）,2019-03-01,3393.0
consumption,餐饮收入（亿元）,2019-04-01,3280.7
consumption,餐饮收入（亿元）,2019-05-01,3631.3
consumption,餐饮收入（亿元）,2019-06-01,3723.3
consumption,餐饮收入（亿元）,2019-07-01,3658.0
consumption,餐饮收入（亿元）,2019-08-01,3857.1
consumption,餐饮收入（亿元）,2019-09-01,3770.2
consumption,餐饮收入（亿元）,2019-10-01,4367.5
consumption,餐饮收入（亿元）,2019-11-01,4963.7
consumption,餐饮收入（亿元）,2019-12-01,4824.6
consumption,餐饮收入（亿元）,2020-03-01,1832.0
consumption,餐饮收入（亿元）,2020-04-01,2306.6
consumption,餐饮收入（亿元）,2020-05-01,3013.3
consumption,餐饮收入（亿元）,2020-06-01,3262.4
consumption,餐饮收入（亿元）,2020-07-01,3282.5
consumption,餐饮收入（亿元）,2020-08-01,3619.3
consumption,餐饮收入（亿元）,2020-09-01,3715.1
consumption,餐饮收入（亿元）,2020-10-01,4372.3
consumption,餐饮收入（亿元）,2020-11-01,4979.7
consumption,餐饮收入（亿元）,2020-12-01,4949.7
consumption,餐饮收入（亿元）,2021-03-01,3510.5
consumption,餐饮收入（亿元）,2021-04-01,3376.9
consumption,餐饮收入（亿元）,2021-05-01,3816.3
consumption,餐饮收入（亿元）,2021-06-01,3922.8
consumption,餐饮收入（亿元）,2021-07-01,3751.4
consumption,餐饮收入（亿元）,2021-08-01,3455.8
consumption,餐饮收入（亿元）,2021-09-01,3831.3
consumption,餐饮收入（亿元）,2021-10-01,4460.3
